kind,name,url,filter,stateId
url,Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/COVID-19/monitoring.aspx,"css:.grid2 > table,html2text,strip",AK
url,Alabama,https://services7.arcgis.com/4RQmZZ0yaZkGR1zy/arcgis/rest/services/COV19_Public_Dashboard_ReadOnly/FeatureServer/0/query?f=json&where=CONFIRMED%20%3E%200&returnGeometry=false&spatialRel=esriSpatialRelIntersects&outFields=*&outStatistics=%5B%7B%22statisticType%22%3A%22sum%22%2C%22onStatisticField%22%3A%22CONFIRMED%22%2C%22outStatisticFieldName%22%3A%22value%22%7D%5D&cacheHint=true,,AL
url,Arkansas,https://www.healthy.arkansas.gov/programs-services/topics/novel-coronavirus,"css:#contentBody table:contains(""Cases""),html2text,strip",AR
url,Arizona,https://phantomjscloud.com/api/browser/v2/ak-7r01w-m166n-bm6wx-r4vn0-4m2m9/?request=%7Burl%3A%27https%3A%2F%2Ftableau.azdhs.gov%2Fviews%2FCOVID-19Dashboard%2FCOVID-19table%3F%3Aembed%3Dy%26%3AshowVizHome%3Dno%26%3Ahost_url%3Dhttps%253A%252F%252Ftableau.azdhs.gov%252F%26%3Aembed_code_version%3D3%26%3Atabs%3Dno%26%3Atoolbar%3Dno%26%3AshowAppBanner%3Dfalse%26%3Adisplay_spinner%3Dno%26iframeSizedToWindow%3Dtrue%26%3AloadOrderID%3D0%27%2C%20renderType%3A%20%27jpg%27%7D,"ocr,clean-new-lines",AZ
url,California,https://www.cdph.ca.gov/Programs/OPA/Pages/New-Release-2020.aspx,"css:table:contains(""State Officials Announce"") tr:nth-child(1),html2text,strip",CA
url,Colorado,https://covid19.colorado.gov/data,"css:p:contains(""Case Summary"") ~ p,html2text,strip",CO
url,Connecticut,https://portal.ct.gov/Coronavirus,"css:.callout--primary,html2text,strip",CT
url,Washington DC,https://coronavirus.dc.gov/page/coronavirus-data,"css:.field-item > ul:nth-child(3),html2text,strip",DC
url,Delaware,"https://phantomjscloud.com/api/browser/v2/ak-7r01w-m166n-bm6wx-r4vn0-4m2m9/?request={url:%22https://coronavirus.delaware.gov/%22,renderType:%22png%22,%22renderSettings%22:{selector:%22.embed-container%22}}",sha1sum,DE
url,Florida,https://floridahealthcovid19.gov/,"css:table,html2text,strip",FL
url,Georgia,https://dph.georgia.gov/covid-19-daily-status-report,"css:table.stacked-row-plus,html2text,strip",GA
url,Hawaii,https://health.hawaii.gov/coronavirusdisease2019/,"css:.wp-block-lazyblock-statistics-panel,html2text,strip",HI
url,Iowa,https://services.arcgis.com/vPD5PVLI6sfkZ5E4/arcgis/rest/services/IA_COVID19_Cases/FeatureServer/0/query?f=html&where=Confirmed%20%3C%3E%200&returnGeometry=false&spatialRel=esriSpatialRelIntersects&outFields=*&outStatistics=%5B%7B%22statisticType%22%3A%22sum%22%2C%22onStatisticField%22%3A%22Confirmed%22%2C%22outStatisticFieldName%22%3A%22ConfirmedCases%22%7D%5D&cacheHint=true,"css:.ftrTable,html2text,strip",IA
url,Idaho,https://coronavirus.idaho.gov/,"css:.tablepress,html2text,strip",ID
url,Illinois,http://www.dph.illinois.gov/sitefiles/COVIDTestResults.json,,IL
url,Indiana,https://services5.arcgis.com/f2aRfVsQG7TInso2/arcgis/rest/services/Coronavirus/FeatureServer/0/query?where=Counts%3E0&outFields=%2A,"css:.ftrTable,html2text",IN
url,Kansas,https://govstatus.egov.com/coronavirus,"css:p:contains(""Confirmed Positive""),html2text",KS
url,Kentucky,https://chfs.ky.gov/agencies/dph/Pages/covid19.aspx,"css:.alert-success,html2text",KY
url,Louisiana,https://services5.arcgis.com/O5K6bb5dZVZcTo5M/arcgis/rest/services/State_Level_Information_1/FeatureServer/0/query?f=html&where=1%3D1&returnGeometry=false&spatialRel=esriSpatialRelIntersects&outFields=*&resultOffset=0&resultRecordCount=50&cacheHint=true,"css:table.ftrTable,html2text",LA
url,Massachusetts,https://www.mass.gov/info-details/covid-19-cases-quarantine-and-monitoring,"css:table,html2text",MA
url,Maryland,https://services.arcgis.com/njFNhDsUCentVYJW/arcgis/rest/services/MD_COVID19_Case_Counts_by_County/FeatureServer/0/query?f=json&where=1%3D1&returnGeometry=false&spatialRel=esriSpatialRelIntersects&outFields=*&outStatistics=%5B%7B%22statisticType%22%3A%22sum%22%2C%22onStatisticField%22%3A%22COVID19Cases%22%2C%22outStatisticFieldName%22%3A%22value%22%7D%5D&cacheHint=true,,MD
url,Maine,https://www.maine.gov/dhhs/mecdc/infectious-disease/epi/airborne/coronavirus.shtml,"css:table:contains(""Testing Data""),html2text",ME
url,Michigan,"https://www.michigan.gov/coronavirus/0,9753,7-406-98163-520743--,00.html","css:table,html2text,strip",MI
url,Minnesota,https://www.health.state.mn.us/diseases/coronavirus/situation.html,"css:ul:contains(""Positive""),html2text",MN
url,Missouri,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/results.php,"css:.text-danger,html2text,strip",MO
url,Mississippi,"https://msdh.ms.gov/msdhsite/_static/14,0,420.html","css:.msdh .shadedBlue,html2text",MS
url,Montana,https://services.arcgis.com/qnjIrwR8z5Izc0ij/arcgis/rest/services/PUBLIC_VIEW_COVID19_CASES/FeatureServer/0/query?f=json&where=Total%20%3C%3E%200&returnGeometry=false&spatialRel=esriSpatialRelIntersects&outFields=*&outStatistics=%5B%7B%22statisticType%22%3A%22sum%22%2C%22onStatisticField%22%3A%22Total%22%2C%22outStatisticFieldName%22%3A%22value%22%7D%5D,,MT
url,Nebraska,https://gis.ne.gov/Agency/rest/services/COVID19_County_Layer/MapServer/1/query?f=json&where=lab_status%3D%27Not%20Detected%27%20AND%20NE_JURIS%3D%27yes%27&returnGeometry=false&spatialRel=esriSpatialRelIntersects&outFields=*&outStatistics=%5B%7B%22statisticType%22%3A%22count%22%2C%22onStatisticField%22%3A%22ID%22%2C%22outStatisticFieldName%22%3A%22value%22%7D%5D,,NE
url,New Hampshire,https://www.nh.gov/covid19/,"css:table,html2text,strip",NH
url,New Jersey,https://www.nj.gov/health/,"css:.slickCarousel-DOH .card-body table,html2text",NJ
url,New Mexico,https://cv.nmhealth.org/,"css:.et_pb_text_inner:contains(""COVID-19 Test Results""),html2text,strip",NM
url,Nevada,https://phantomjscloud.com/api/browser/v2/ak-7r01w-m166n-bm6wx-r4vn0-4m2m9/?request=%7Burl%3A%27https://app.powerbigov.us/view?r=eyJrIjoiMjA2ZThiOWUtM2FlNS00MGY5LWFmYjUtNmQwNTQ3Nzg5N2I2IiwidCI6ImU0YTM0MGU2LWI4OWUtNGU2OC04ZWFhLTE1NDRkMjcwMzk4MCJ9%27%2C%20renderType%3A%20%27html%27%7D,"css:.setFocusRing text title,html2text,strip",NV
url,New York,https://coronavirus.health.ny.gov/county-county-breakdown-positive-cases,"css:table,html2text",NY
url,North Carolina,https://www.ncdhhs.gov/covid-19-case-count-nc,"css:table,html2text",NC
url,North Dakota,https://www.health.nd.gov/diseases-conditions/coronavirus/north-dakota-coronavirus-cases,css:p img,ND
url,Ohio,https://coronavirus.ohio.gov/wps/portal/gov/covid-19/,"css:.odh-ads__container .odh-ads__items,html2text",OH
url,Oklahoma,https://coronavirus.health.ok.gov/,"css:table,html2text",OK
url,Oregon,https://govstatus.egov.com/OR-OHA-COVID-19,"css:table:contains(""Total Completed Tests""),html2text",OR
url,Pennsylvania,https://www.health.pa.gov/topics/disease/coronavirus/Pages/Cases.aspx,"css:table:contains(""Negative""),html2text",PA
url,Rhode Island,https://docs.google.com/spreadsheets/d/1n-zMS9Al94CPj_Tc3K7Adin-tN9x1RSjjx2UzJ4SV7Q/edit?rm=minimal&chrome=false&ui=1&output=html#gid=0,"css:tbody td,html2text",RI
